session_id,session,src_ip,session_start,session_end,event_count,unique_commands,session_duration,failed_logins,successful_login,unique_usernames,high_event_activity,long_session,credential_guessing,command_heavy,behavioral_risk_score,event_count_norm,unique_commands_norm,session_duration_norm,behavior_cluster,behavior_label,risk_score,is_anomaly,dbscan_label,cluster_stability,attacker_type,threat_archetype,confidence_level,ip_scope,risk_level,country,country_iso,city,latitude,longitude,asn,asn_org,campaign_key,campaign_total_sessions,campaign_severity,ml_risk_score,ml_risk_label,ml_accuracy,ml_precision,ml_recall,geo_visualization,soc_relevance,pca_x,pca_y
SESS-32031,c9dca088858e,172.16.0.50,27-12-2025 13:46,27-12-2025 13:46,31,0,0.833883,27,0,23,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.6562784,2,Medium Risk,2.26070457,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.489943463,2.614306036
SESS-25766,58769de5389e,165.22.200.100,12-02-2026 11:33,12-02-2026 11:33,13,6,0.233567,1,1,2,TRUE,FALSE,TRUE,TRUE,2,-0.059177491,1.222958442,-0.41680232,3,High Risk,2.259856073,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.108450077,-1.600072552
SESS-32211,71f18af83484,192.168.2.5,08-01-2026 06:47,08-01-2026 06:47,34,0,0.67587,30,0,23,TRUE,FALSE,TRUE,FALSE,1,2.749245806,-0.699226986,1.8473935,2,Medium Risk,2.259408929,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.279155628,2.429645108
SESS-28103,35db060abfe5,118.238.200.50,30-01-2026 00:44,30-01-2026 00:44,12,6,0.282779,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.16488086,3,High Risk,2.256746588,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.169499251,-1.546416167
SESS-25018,eed45348d88a,128.199.55.204,26-01-2026 05:34,26-01-2026 05:34,32,0,0.777149,28,0,19,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.3658514,2,Medium Risk,2.256112953,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,Netherlands,NL,Amsterdam,52.352,4.9392,AS14061,"DigitalOcean, LLC",NL_AS14061,45,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.408858628,2.543476172
SESS-29861,43cb400ab913,89.32.200.100,28-12-2025 17:37,28-12-2025 17:37,31,0,0.829347,27,0,19,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.6330585,2,Medium Risk,2.256060605,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.477861339,2.603949896
SESS-26686,18689282fa0a,116.202.3.123,18-01-2026 06:49,18-01-2026 06:49,31,0,0.829253,27,0,17,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.6325772,2,Medium Risk,2.255964332,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.477610968,2.603735291
SESS-23461,df3a817cde86,58.120.200.100,16-02-2026 06:48,16-02-2026 06:48,12,6,0.281621,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.17080878,3,High Risk,2.255561004,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.166414778,-1.54906001
SESS-32585,66027b0f1255,192.168.190.140,10-01-2026 23:08,10-01-2026 23:08,12,6,0.281121,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.17336845,3,High Risk,2.255049068,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,private,high,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,0.99,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,1.165082904,-1.55020162
SESS-23362,55c5daf1908c,192.168.2.5,21-12-2025 16:03,21-12-2025 16:03,12,6,0.280978,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.17410044,3,High Risk,2.25490267,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,private,high,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,0.99,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,1.164702028,-1.550528086
